,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,,,Lumbardhi i Deçanit,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_061,,,,,,RV01_062,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Deçan - Hyrje,,,,,,Kralan,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,18.04.2013,16.12.2013,,,,,19.03.2013,18.04.2013,23.05.2013,,25.06.2013,17.07.2013,,,,,05.11.2013,,16.12.2013,22.01.2013,20.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,13:45,14:00,,,,,10:25,10:30,12:15,,11:55,12:00,,,,,12:00,,10:30,10:35,10:45,,,,,,,
1002,Moti,M,vrojtim,me diell,diell,,,,,vranet,me diell,me shi,,vranet,diell,,,,,vranet,,diell,vranet,me diell,,,,,,,
1026,Azoti i amoniumit,N-NH4+,mg/l N,,0.724,0.724,0.724,0.724,1,0.208,0.602,0.140,0.317,3.047,1.946,,2.497,,,1.855,1.855,5.602,0.327,,2.965,0.140,1.716,5.602,1.228,1.885,8
1027,Azoti total inorganik,ATI,mg/l N,,0.884,0.884,0.884,0.884,1,2.136,0.757,0.159,1.017,3.251,2.455,,2.853,,,2.035,2.035,6.447,1.552,2.305,3.435,0.159,2.344,6.447,2.136,1.794,9
1028,Amoniumi i pajonizuar,NH3,mg/l,,0.680,0.680,0.680,0.680,1,0.195,0.566,0.132,0.298,2.865,1.829,,2.347,,,1.743,1.743,5.266,0.307,,2.787,0.132,1.613,5.266,1.155,1.772,8
1029,Azoti i amoniumit te pajonizuar,N-NH3,mg/l N,,0.560,0.560,0.560,0.560,1,0.161,0.466,0.108,0.245,2.358,1.505,,1.931,,,1.435,1.435,4.334,0.253,,2.293,0.108,1.327,4.334,0.950,1.458,8
1030,Azoti total organik+inorganik,AT,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1031,Azoti total organik,ATO,mg/l N,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1032,Ortofosfatet,PO43-,mg/l,0.084,0.2,0.084,0.142,0.200,2,0.074,0.072,0.25,0.132,0.061,0.109,,0.085,,,0.233,0.233,0.11,0.033,,0.072,0.033,0.118,0.250,0.092,0.080,8
1033,Fosfori I ortofosfateve,P - PO43- ,mg/l P,0.027,0.065,0.027,0.046,0.065,2,0.024,0.023,0.082,0.043,0.020,0.036,,0.028,,,0.076,0.076,0.036,0.011,,0.023,0.011,0.038,0.082,0.030,0.026,8
1034,Fosfori total (poli+orto),Ptot.,mg/l ,,,0.000,,0.000,0,0.063,0.038,0.107,0.069,0.035,0.082,,0.059,,,0.14,0.140,0.038,0.016,,0.027,0.016,0.065,0.140,0.051,0.042,8
1035,Joni sulfat ,SO42-,mg/l,4,,4.000,4.000,4.000,1,12.5,6.8,4.5,7.933,10,9.7,,9.850,,,7.2,7.200,,8.7,,8.700,4.500,8.486,12.500,8.700,2.592,7
1036,Fortësia e përgjithshme ,Fp,0dH,5.04,5.88,5.040,5.460,5.880,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1037,Fortësia e Kalciumit,Fca,mg/l,3.64,4.48,3.640,4.060,4.480,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1038,Fortësia e Magnezit,FMg,mg/l,1.4,1.40,1.400,1.400,1.400,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1039,Jonet e Kalciumit,Ca+,mg/l,26.026,32.03,26.026,29.029,32.032,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1040,Jonet e Magnezit,Mg+,mg/l,6.076,6.08,6.076,6.076,6.076,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1041,P-Alkaliteti,Pa,ml 0.1 e HCl,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1042,M-Alkaliteti,Ma,ml 0.1 e HCl,1.75,2.10,1.750,1.925,2.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1043,Alkaliteti total,AT,mmol/l HCl,1.750,2.100,1.750,1.925,2.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1044,Bikarbonatet ,HCO3-,mg/l,106.75,128.1,106.750,117.425,128.100,2,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1045,Klori i lirë,Cl2,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1046,Kloruret ,Cl-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1047,Silikatet,SiO32-,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1048,Silici në Silikate,Si - SiO32-,mg/l Si,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1049,Klorofil a,Chlorophyll a,µg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1050,Fenolet ,C6H5OH,mg/l,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
